REF                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                          
sha256:4185d2c55ba89731509d80ef7972b16c75553fdda1cb61d46ede5aac3595b1aa application/vnd.docker.distribution.manifest.v2+json      sha256:fc2a1da7656ea02f2b3e9c3177412c557fabba9a824dd02ebdef39044bd44e1b 58.6 MiB  linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:6417e1437b6d9a789e1ca789695a574e1df00a632bdbfbcae9695c9a7d500e32 application/vnd.docker.distribution.manifest.v2+json      sha256:15096e1f782fd185a398f252c8069e06b607ff325b7e33b7d79350decbbc0db3 90.6 MiB  linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:653e2348b2d4ab640e418f5eade4c0335d4f648b83ca46a69c96fb382ed26dd2 application/vnd.docker.distribution.manifest.list.v2+json sha256:8f45ae720c2a2785a5caf2af5c588dabc22ac457f81505b709328e930bbfe78c 19.3 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
sha256:7fc9d4aa817aa6a3e549f3cd49d1f7b496407be979fc36dd5f356d59ce8c3a82 application/vnd.docker.distribution.manifest.list.v2+json sha256:c6a9d11cc5c04b114ccdef39a9265eeef818e3d02f5359be035ae784097fdec5 64.8 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x,windows/amd64 io.cri-containerd.image=managed                                 
sha256:82dfa03f692fb5d84f66c17d6ee9126b081182152b25d28ea456d89b7d5d8911 application/vnd.docker.distribution.manifest.v2+json      sha256:3e9da40f130b2a4be6f5bba9ce652b4b6b95dd7eb45a071ffe662f06fbde5447 65.8 MiB  linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:8b144c9f301f93dd6056f3f2e647c7ae476ec9d00c0aceb7a708c31d5a8e3597 application/vnd.docker.distribution.manifest.v2+json      sha256:6b4909617256b1c7f84f1c413e14b5c2f23836bae4fb7fa4e602cd948660be76 189.8 MiB linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:9ade799723026170d7e7f82eeffc1518d8af5df6795bd81496b0ad7665ccb370 application/vnd.docker.distribution.manifest.v2+json      sha256:5dfc0301695c80107c01734150002c389e9a4d7507e2d2fe03169b8d84cbfaa2 8.5 MiB   linux/amd64                                                                  io.cri-containerd.image=managed                                 
sha256:afb61768ce381961ca0beff95337601f29dc70ff3ed14e5e4b3e5699057e6aa8 application/vnd.docker.distribution.manifest.list.v2+json sha256:ee6521f290b2168b6e0935a181d4cff9be1ac3f505666ef0e3c98fae8199917a 261.7 KiB linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x,windows/amd64 io.cri-containerd.image=managed,io.cri-containerd.pinned=pinned 
sha256:b530d82c16da9cb98a667f4808afc861834cf52f71484b1fff2279bdd1f76277 application/vnd.oci.image.index.v1+json                   sha256:8f2bbf11bdb7e993ea45e043e29192104d09829a715b4ee93b1529961c049a9d 2.8 MiB   linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
sha256:d92a4641e7e5b5448ea3cf00454e4e39c664f5e6239dbf776acb28c36242d599 application/vnd.docker.distribution.manifest.v2+json      sha256:3285559b8480fe141dc77d1de8bb268e66a4a9af479d72a2f3fa8ca99872b54d 195.1 MiB linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:e0732a66b9152c10acb0710d07c4ebec5e719f72bd62bd8112662ed38f4f9265 application/vnd.docker.distribution.manifest.v2+json      sha256:685153e7527f118f5a9e891a3a864718d39acb9253ca8af2bf98503dcaea5eaa 1.2 GiB   linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:e5aac5df76d9b8dc899ab8c4db25a7648e7fb25cafe7a155066247883c78f062 application/vnd.docker.distribution.manifest.v2+json      sha256:7fe27993dd5bd1ac4718022f28370becf99d854e85a7dd705a00ee9d91574a56 93.8 MiB  linux/arm64                                                                  io.cri-containerd.image=managed                                 
sha256:ee75e27fff91c8d59835f9a3efdf968ff404e580bad69746a65bcf3e304ab26f application/vnd.docker.distribution.manifest.list.v2+json sha256:e3c42406b0806c1f7e8a66838377936cbd2cdfd94d9b26a3eefedada8713d495 34.0 MiB  linux/amd64,linux/arm64                                                      io.cri-containerd.image=managed                                 
