gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.120)
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:469] statically linked extensions:
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.request_id: envoy.request_id.uuid
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.regex_engines: envoy.regex_engines.google_re2
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.custom_response: envoy.extensions.http.custom_response.local_response_policy, envoy.extensions.http.custom_response.redirect_policy
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream_options: envoy.extensions.upstreams.http.v3.HttpProtocolOptions, envoy.extensions.upstreams.tcp.v3.TcpProtocolOptions, envoy.upstreams.http.http_protocol_options, envoy.upstreams.tcp.tcp_protocol_options
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.action: envoy.matching.actions.format_string, filter-chain-name
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.serializers: dubbo.hessian2
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
gateway-corpus-affected-1  | [2026-09-11 09:24:54.506][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
