gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.ssl.server_context_factory: envoy.ssl.server_context_factory.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.cache: envoy.extensions.http.cache.file_system_http_cache, envoy.extensions.http.cache.simple
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.sip_proxy.filters: envoy.filters.sip.router
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.action: envoy.matching.actions.format_string, filter-chain-name
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.listener_manager_impl: envoy.listener_manager_impl.default, envoy.listener_manager_impl.validation
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.common.key_value: envoy.key_value.file_based
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route_config_update_requester: envoy.route_config_update_requester.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers.extension_filters: envoy.access_loggers.extension_filters.cel
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstreams: envoy.filters.connection_pools.http.dubbo_tcp, envoy.filters.connection_pools.http.generic, envoy.filters.connection_pools.http.http, envoy.filters.connection_pools.http.tcp
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.transports: auto, framed, header, unframed
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   network.connection.client: default, envoy_internal
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.connection_id_generator: envoy.quic.deterministic_connection_id_generator
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.transport_sockets.downstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, raw_buffer, starttls, tls
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.protocols: dubbo
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   filter_state.object: envoy.filters.listener.original_dst.local_ip, envoy.filters.listener.original_dst.remote_ip, envoy.network.application_protocols, envoy.network.transport_socket.original_dst_address, envoy.network.upstream_server_name, envoy.network.upstream_subject_alt_names, envoy.ratelimit.hits_addend, envoy.router.debug_config, envoy.tcp_proxy.cluster, envoy.tcp_proxy.disable_tunneling, envoy.tcp_proxy.per_connection_idle_timeout_ms, envoy.upstream.dynamic_host, envoy.upstream.dynamic_port
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.connection_handler: envoy.connection_handler.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.request_id: envoy.request_id.uuid
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.health_checkers: envoy.health_checkers.grpc, envoy.health_checkers.http, envoy.health_checkers.redis, envoy.health_checkers.tcp
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.stat_matching_data.input: stat_full_name_match_input
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.built_in_formatters: envoy.built_in_formatters.http.default, envoy.built_in_formatters.metadata, envoy.built_in_formatters.stream_info.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.network.dns_resolver: envoy.network.dns_resolver.cares
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor, envoy.compression.zstd.compressor
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.open_telemetry_stat_sink, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.open_telemetry, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http: envoy.bandwidth_limit, envoy.buffer, envoy.cors, envoy.csrf, envoy.ext_authz, envoy.ext_proc, envoy.fault, envoy.filters.http.adaptive_concurrency, envoy.filters.http.admission_control, envoy.filters.http.alternate_protocols_cache, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.bandwidth_limit, envoy.filters.http.buffer, envoy.filters.http.cache, envoy.filters.http.cdn_loop, envoy.filters.http.composite, envoy.filters.http.compressor, envoy.filters.http.connect_authority, envoy.filters.http.connect_grpc_bridge, envoy.filters.http.cors, envoy.filters.http.csrf, envoy.filters.http.custom_response, envoy.filters.http.decompressor, envoy.filters.http.dynamic_forward_proxy, envoy.filters.http.ext_authz, envoy.filters.http.ext_proc, envoy.filters.http.fault, envoy.filters.http.gcp_authn, envoy.filters.http.golang, envoy.filters.http.grpc_field_extraction, envoy.filters.http.grpc_http1_bridge, envoy.filters.http.grpc_http1_reverse_bridge, envoy.filters.http.grpc_json_transcoder, envoy.filters.http.grpc_stats, envoy.filters.http.grpc_web, envoy.filters.http.header_mutation, envoy.filters.http.header_to_metadata, envoy.filters.http.health_check, envoy.filters.http.http_dubbo_transcoder, envoy.filters.http.ip_tagging, envoy.filters.http.istio_stats, envoy.filters.http.jwt_authn, envoy.filters.http.local_ratelimit, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.mcp_sse_stateful_session, envoy.filters.http.oauth2, envoy.filters.http.on_demand, envoy.filters.http.original_src, envoy.filters.http.peer_metadata, envoy.filters.http.ratelimit, envoy.filters.http.rbac, envoy.filters.http.router, envoy.filters.http.set_metadata, envoy.filters.http.stateful_session, envoy.filters.http.sxg, envoy.filters.http.tap, envoy.filters.http.wasm, envoy.grpc_http1_bridge, envoy.grpc_json_transcoder, envoy.grpc_web, envoy.health_check, envoy.ip_tagging, envoy.local_rate_limit, envoy.lua, envoy.rate_limit, envoy.router, istio.alpn, istio_authn
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.bootstrap: envoy.bootstrap.internal_listener, envoy.bootstrap.wasm, envoy.bootstrap.workload_discovery, envoy.extensions.network.socket_interface.default_socket_interface
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rds_factory: envoy.rds_factory.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   quic.http_server_connection: quic.http_server_connection.default
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.network: envoy.echo, envoy.ext_authz, envoy.filters.network.connect_authority, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.golang, envoy.filters.network.http_connection_manager, envoy.filters.network.istio_stats, envoy.filters.network.kafka_broker, envoy.filters.network.kafka_mesh, envoy.filters.network.local_ratelimit, envoy.filters.network.metadata_exchange, envoy.filters.network.mongo_proxy, envoy.filters.network.mysql_proxy, envoy.filters.network.postgres_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.rocketmq_proxy, envoy.filters.network.sip_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_cluster_rewrite, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy, forward_downstream_sni, io.istio.network.authn, sni_verifier
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_mux: envoy.config_mux.delta_grpc_mux_factory, envoy.config_mux.grpc_mux_factory, envoy.config_mux.new_grpc_mux_factory, envoy.config_mux.sotw_grpc_mux_factory
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream.local_address_selector: envoy.upstream.local_address_selector.default_local_address_selector
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rate_limit_descriptors: envoy.rate_limit_descriptors.expr
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.decompressor: envoy.compression.brotli.decompressor, envoy.compression.gzip.decompressor, envoy.compression.zstd.decompressor
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.serializers: dubbo.hessian2
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.network.input: envoy.matching.inputs.application_protocol, envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.subject, envoy.matching.inputs.transport_protocol, envoy.matching.inputs.uri_san
gateway-control-oracle-1  | [2026-09-11 09:24:06.008][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
gateway-control-oracle-1  | [2026-09-11 09:24:06.012][1][info][main] [external/envoy/source/server/server.cc:531] HTTP header map info:
gateway-control-oracle-1  | [2026-09-11 09:24:06.013][1][info][main] [external/envoy/source/server/server.cc:534]   request header map: 664 bytes: :authority,:method,:path,:protocol,:scheme,accept,accept-encoding,access-control-request-headers,access-control-request-method,access-control-request-private-network,authentication,authorization,cache-control,cdn-loop,connection,content-encoding,content-length,content-type,expect,grpc-accept-encoding,grpc-timeout,if-match,if-modified-since,if-none-match,if-range,if-unmodified-since,keep-alive,origin,pragma,proxy-connection,proxy-status,referer,te,transfer-encoding,upgrade,user-agent,via,x-client-trace-id,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-downstream-service-cluster,x-envoy-downstream-service-node,x-envoy-expected-rq-timeout-ms,x-envoy-external-address,x-envoy-force-trace,x-envoy-hedge-on-per-try-timeout,x-envoy-internal,x-envoy-ip-tags,x-envoy-is-timeout-retry,x-envoy-max-retries,x-envoy-original-host,x-envoy-original-path,x-envoy-original-url,x-envoy-retriable-header-names,x-envoy-retriable-status-codes,x-envoy-retry-grpc-on,x-envoy-retry-on,x-envoy-upstream-alt-stat-name,x-envoy-upstream-rq-per-try-timeout-ms,x-envoy-upstream-rq-timeout-alt-response,x-envoy-upstream-rq-timeout-ms,x-envoy-upstream-stream-duration-ms,x-forwarded-client-cert,x-forwarded-for,x-forwarded-host,x-forwarded-port,x-forwarded-proto,x-request-id
gateway-control-oracle-1  | [2026-09-11 09:24:06.013][1][info][main] [external/envoy/source/server/server.cc:534]   request trailer map: 120 bytes: 
gateway-control-oracle-1  | [2026-09-11 09:24:06.013][1][info][main] [external/envoy/source/server/server.cc:534]   response header map: 432 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-allow-private-network,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
gateway-control-oracle-1  | [2026-09-11 09:24:06.013][1][info][main] [external/envoy/source/server/server.cc:534]   response trailer map: 144 bytes: grpc-message,grpc-status
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][main] [external/envoy/source/server/server.cc:942] runtime: {}
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][main] [external/envoy/source/server/server.cc:774] Starting admin HTTP server at 0.0.0.0:9971
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][admin] [external/envoy/source/server/admin/admin.cc:65] admin address: 0.0.0.0:9971
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][config] [external/envoy/source/server/configuration_impl.cc:181] loading tracing configuration
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][config] [external/envoy/source/server/configuration_impl.cc:132] loading 0 static secret(s)
gateway-control-oracle-1  | [2026-09-11 09:24:06.025][1][info][config] [external/envoy/source/server/configuration_impl.cc:138] loading 1 cluster(s)
gateway-control-oracle-1  | [2026-09-11 09:24:06.035][1][info][config] [external/envoy/source/server/configuration_impl.cc:148] loading 1 listener(s)
gateway-control-oracle-1  | [2026-09-11 09:24:10.784][1][info][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1541] wasm log malformed-control-oracle malformed-control-oracle: [mcp-server] [] [nil] Parsing single server configuration: malformed-non-schema
gateway-control-oracle-1  | [2026-09-11 09:24:10.785][1][warning][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1544] wasm log malformed-control-oracle malformed-control-oracle: [mcp-server] [] [nil] parse rule config failed: parse config failed, no valid rules; global config parse error:failed to add tool malformed_template: error parsing URL template: template: url:1: unclosed action
gateway-control-oracle-1  | [2026-09-11 09:24:10.785][1][error][wasm] [external/envoy/source/extensions/common/wasm/context.cc:1547] wasm log malformed-control-oracle malformed-control-oracle: [mcp-server] [] [nil] plugin start failed
gateway-control-oracle-1  | [2026-09-11 09:24:10.785][1][error][wasm] [external/envoy/source/extensions/common/wasm/wasm.cc:273] Wasm VM failed Failed to configure base Wasm plugin
gateway-control-oracle-1  | [2026-09-11 09:24:10.792][1][critical][wasm] [external/envoy/source/extensions/common/wasm/wasm.cc:999] Plugin malformed-control-oracle failed to load
gateway-control-oracle-1  | [2026-09-11 09:24:10.792][1][critical][wasm] [external/envoy/source/extensions/common/wasm/wasm.cc:850] Plugin configured to fail closed failed to load
gateway-control-oracle-1  | [2026-09-11 09:24:10.792][1][critical][main] [external/envoy/source/server/server.cc:453] error `Unable to create Wasm plugin malformed-control-oracle` initializing config '  /evidence/envoy-control-oracle.yaml'
gateway-control-oracle-1  | [2026-09-11 09:24:10.793][1][info][main] [external/envoy/source/server/server.cc:1114] exiting
gateway-control-oracle-1  | Unable to create Wasm plugin malformed-control-oracle
